# ElectrifySZU building list
# Format:
#   ## <campus_name> group=<campus_group_name> count=<building_count>
#   buildingId=<building_id>\t<building_name>
#
# Legacy format (client=<ip>) is still supported for backward compatibility.

## 北校区 group=yuehai_north count=10
buildingId=6363	乔林11-12层
buildingId=6364	乔木11-12层
buildingId=6875	乔森阁2-10层
buildingId=6876	乔森11-20层
buildingId=6877	乔相阁2-10层
buildingId=6878	乔相11-20层
buildingId=6121	乔林阁1-10层
buildingId=6122	乔木阁1-10层
buildingId=7724	乔梧阁2-10层
buildingId=7725	乔梧阁11-20

## 南校区 group=yuehai_south count=9
buildingId=6875	春笛3-8楼
buildingId=6876	夏筝3-17楼
buildingId=6877	秋瑟3-8楼
buildingId=6878	冬筑3-6楼
buildingId=7119	春笛9-17楼
buildingId=7828	秋瑟9-17楼
buildingId=8240	冬筑7-10楼
buildingId=8241	冬筑11-14楼
buildingId=8242	冬筑15-17楼

## 西丽校区 group=lihu count=3
buildingId=10057	A栋风信子
buildingId=10934	B栋山楂树
buildingId=10935	C栋胡杨林

## 深大新斋区 group=yuehai_newzhai count=6
buildingId=7126	风槐斋
buildingId=7603	雨鹃斋
buildingId=17887	蓬莱客舍
buildingId=18118	聚翰斋
buildingId=18119	紫薇斋
buildingId=18120	红豆斋
